codgeo,libgeo,zonage_rur
02438,Longpont,tr1
02439,Les Septvallons,tr3
02440,Lor,tr4
02441,Louâtre,tr3
02442,Loupeigne,tr1
02443,Lucy-le-Bocage,tr4
02444,Lugny,tr1
02445,Luzoir,tr1
02446,Ly-Fontaine,tr4
02447,Maast-et-Violaine,tr4
02448,Mâchecourt,tr4
02449,Macogny,tr3
02450,Macquigny,tr2
02451,Magny-la-Fosse,tr4
02452,Maissemy,tr4
02453,Maizy,tr4
02454,La Malmaison,tr4
02455,Malzy,tr1
02456,Manicamp,tr2
02457,Marchais,tr4
02458,Dhuys et Morin-en-Brie,tr3
02459,Marcy,tr4
02460,Marcy-sous-Marle,tr1
02461,Marest-Dampcourt,tr2
02462,Mareuil-en-Dôle,tr1
02463,Marfontaine,tr1
02464,Margival,tr4
02465,Marigny-en-Orxois,tr4
02466,Marizy-Sainte-Geneviève,tr3
02467,Marizy-Saint-Mard,tr1
02468,Marle,tr2
02469,Marly-Gomont,tr2
02470,Martigny,tr2
02471,Martigny-Courpierre,tr4
02472,Mauregny-en-Haye,tr3
02473,Mayot,tr3
02474,Mennessis,tr2
02476,Mennevret,tr2
02477,Mercin-et-Vaux,tr4
02478,Merlieux-et-Fouquerolles,tr4
02480,Mesbrecourt-Richecourt,tr3
02481,Mesnil-Saint-Laurent,tr4
02482,Meurival,tr4
02483,Mézières-sur-Oise,tr4
02484,Mézy-Moulins,tr2
02485,Missy-aux-Bois,tr3
02486,Missy-lès-Pierrepont,tr4
02487,Missy-sur-Aisne,tr4
02488,Molain,tr2
02489,Molinchart,tr4
02490,Monampteuil,tr3
02491,Monceau-le-Neuf-et-Faucouzy,tr2
02492,Monceau-lès-Leups,tr4
02493,Monceau-le-Waast,tr4
02494,Monceau-sur-Oise,tr1
02495,Mondrepuis,tr2
02496,Monnes,tr3
02497,Mons-en-Laonnois,tr4
02498,Montaigu,tr3
02499,Montbavin,tr4
02500,Montbrehain,tr4
02501,Montchâlons,tr4
02502,Montcornet,tr2
02503,Mont-d'Origny,tr3
02504,Montescourt-Lizerolles,tr4
02505,Montfaucon,tr3
02506,Montgobert,tr3
02507,Montgru-Saint-Hilaire,tr1
02508,Monthenault,tr4
02509,Monthiers,tr1
